vehicle_id,label_id
1,1
1,3
2,1
2,3
3,1
3,3
4,10
4,1
4,2
4,3
5,10
5,5
5,1
5,3
6,1
6,3
7,1
8,4
8,1
8,7
9,5
9,1
10,1
10,3
11,1
11,3
12,10
12,1
12,2
12,3
13,10
13,1
13,2
14,10
14,5
14,1
14,2
14,3
15,1
16,1
17,10
17,1
17,2
17,3
18,10
18,1
18,2
19,10
19,1
19,2
20,1
20,3
21,10
21,1
21,2
22,1
23,10
23,1
23,2
24,10
24,1
24,2
24,3
25,2
25,3
26,1
26,3
27,10
27,1
27,2
27,3
28,1
28,3
29,1
29,3
30,10
30,1
30,2
30,3
31,10
31,1
31,2
31,3
32,4
32,1
33,1
33,3
35,1
35,3
36,10
36,1
36,2
36,3
37,10
37,1
37,2
37,3
38,10
38,5
38,1
38,3
39,4
39,5
39,1
39,7
40,10
40,1
40,3
41,4
41,5
41,1
41,7
42,1
43,4
43,5
43,1
45,1
45,3
46,1
46,3
46,7
47,10
47,1
47,2
47,3
48,1
49,1
49,3
50,1
50,3
51,4
51,1
52,1
52,3
53,10
53,1
53,2
54,10
54,5
54,1
54,2
54,3
55,1
56,1
56,3
57,10
57,4
57,5
57,1
57,2
57,7
58,10
58,4
58,1
58,2
58,7
59,1
59,3
60,1
60,3
61,5
61,1
62,1
62,3
63,1
63,3
64,10
64,1
64,2
64,3
65,10
65,1
65,2
65,3
66,1
67,4
67,5
67,1
67,7
68,10
68,4
68,5
68,1
69,1
69,3
70,4
71,10
71,1
71,2
72,10
72,1
72,2
72,3
73,4
73,1
74,1
75,1
75,3
76,1
76,3
77,1
77,3
78,1
78,3
79,5
79,1
80,2
80,7
81,4
81,1
82,10
82,4
82,1
82,2
82,7
83,1
83,3
84,10
84,4
84,1
84,2
85,1
85,3
86,4
86,1
87,1
87,3
88,4
88,1
89,5
89,1
90,10
90,1
90,2
90,3
91,1
91,3
92,1
92,3
93,1
93,3
94,4
94,5
94,1
94,7
95,4
96,5
96,2
96,7
97,5
98,1
98,3
99,10
99,1
99,2
99,3
100,1
100,3
101,1
101,3
102,1
102,3
103,1
104,1
104,3
105,4
105,5
105,1
106,10
106,4
106,1
106,2
107,10
107,1
107,2
107,3
108,10
108,1
108,2
108,3
109,3
110,2
110,3
110,7
111,1
111,3
112,4
112,5
112,1
113,4
113,5
113,1
114,1
114,3
115,1
116,1
116,3
117,1
117,3
118,1
118,3
119,1
119,3
120,10
120,4
120,1
120,2
121,10
121,5
121,1
121,2
121,3
122,10
122,1
122,2
123,1
123,3
124,1
124,3
125,1
125,3
126,1
126,3
127,1
127,3
128,10
128,1
128,2
128,6
129,10
129,1
129,2
130,10
130,1
130,2
130,7
131,10
131,4
131,5
131,1
131,7
132,10
132,1
132,2
133,1
133,3
134,1
134,3
135,4
135,5
135,1
136,1
136,3
137,10
137,1
137,3
138,10
138,4
138,5
138,1
138,2
139,3
140,10
140,5
140,1
140,2
140,7
141,10
141,1
141,2
141,3
142,1
142,3
143,10
143,1
143,2
144,1
144,3
145,1
145,3
146,1
146,3
147,1
147,3
148,4
148,2
149,10
149,4
149,5
149,1
149,2
150,10
150,5
150,1
150,2
150,3
151,10
151,1
151,3
152,1
152,3
153,10
153,4
153,5
153,1
154,1
154,3
155,1
155,3
156,1
156,3
157,10
157,4
157,5
157,1
157,2
157,7
158,4
158,5
158,1
159,4
159,5
159,1
159,7
160,1
160,3
161,5
162,10
162,1
162,2
163,10
163,5
163,1
163,2
164,10
164,1
164,2
165,1
165,7
166,1
166,3
167,1
167,3
168,1
168,3
169,1
169,3
170,5
170,1
171,1
171,3
172,1
172,3
173,4
173,1
174,10
174,1
174,2
175,10
175,4
175,5
175,1
175,2
176,10
176,4
176,5
176,1
177,4
177,1
178,1
178,3
179,4
179,5
179,1
180,1
180,3
181,4
181,5
181,1
182,5
182,1
182,3
182,7
183,1
183,3
184,1
184,3
185,4
185,5
185,1
185,7
186,4
186,5
186,1
187,10
187,1
187,2
187,3
188,10
188,1
188,2
188,3
189,10
189,5
189,1
189,3
190,1
190,3
191,1
191,3
192,10
192,1
192,3
193,1
193,3
194,1
194,3
195,4
195,1
195,7
196,4
196,5
196,1
196,7
197,4
197,1
198,10
198,4
198,5
198,1
198,2
199,1
199,3
200,10
200,1
200,2
200,3
201,4
201,5
201,1
201,7
202,1
203,1
204,4
204,1
205,4
205,5
205,1
206,4
206,5
206,1
206,7
207,1
207,3
208,1
208,3
209,10
209,1
209,2
210,10
210,1
211,1
211,3
212,1
212,3
213,10
213,4
213,1
213,2
214,10
214,1
214,2
214,3
215,5
215,1
215,7
216,10
216,1
216,2
217,5
217,1
217,7
218,10
218,5
218,1
218,2
218,3
219,4
219,1
220,10
220,4
220,5
220,1
220,2
221,1
221,3
222,10
222,1
222,3
223,10
223,5
223,1
223,2
224,10
224,4
224,5
224,1
224,2
225,4
225,5
225,1
226,1
226,3
227,1
227,3
228,1
228,3
229,10
229,1
229,3
230,10
230,4
230,5
230,1
231,10
231,1
231,2
232,10
232,4
232,5
232,1
232,2
232,7
